37.2937292,126.9757051
37.293742699999996,126.9757075
37.293757299999996,126.9757101
37.2937708,126.9757125
37.2937831,126.97571479999999
37.2937948,126.97571699999999
37.2938069,126.97571939999999
37.2938213,126.9757223
37.2938392,126.9757262
37.293858799999995,126.9757305
37.2938769,126.9757346
37.2938933,126.9757384
37.2939085,126.9757418
37.293923299999996,126.97574519999999
37.2939374,126.97574859999999
37.293951199999995,126.97575189999999
37.2939651,126.9757552
37.2939775,126.97575769999999
37.293991399999996,126.97576049999999
